SMILES,pEC50,source,canonical_smiles
CC1=CC=C(NCC2=CC=CC3=CC=CC=C32)C=C1N1C=NN=N1,5.12,train,Cc1ccc(NCc2cccc3ccccc23)cc1-n1cnnn1
O=C(CC1=CC2=CC(Cl)=CC=C2N1)N[C@H]1CCCC2=CC=CN=C21,5.03,train,O=C(Cc1cc2cc(Cl)ccc2[nH]1)N[C@H]1CCCc2cccnc21
CC1=CC=C(C)C(S(=O)(=O)NCC(=O)N2CCC(C3CCCO3)C2)=C1,5.14,train,Cc1ccc(C)c(S(=O)(=O)NCC(=O)N2CCC(C3CCCO3)C2)c1
"O=C(CNS(=O)(=O)C1=CC=CC=C1F)N1C[C@H]2C[C@H](C3=CC=CC=C3)[C@H]2C1 |&1:16,18,25|",5.07,train,O=C(CNS(=O)(=O)c1ccccc1F)N1C[C@H]2C[C@H](c3ccccc3)[C@H]2C1
CC1=NOC=C1CC1=NOC(C2=CC=CN(CC(C)C)C2=O)=N1,5.44,train,Cc1nocc1Cc1noc(-c2cccn(CC(C)C)c2=O)n1
CC1=CC(F)=CC=C1CC1=NOC(C2CCC3=NC=CN3C2)=N1,3.96,train,Cc1cc(F)ccc1Cc1noc(C2CCc3nccn3C2)n1
COC(C1=CC=CC=C1Cl)C1=NOC(CC2=NOC(C)=C2)=N1,4.36,train,COC(c1noc(Cc2cc(C)on2)n1)c1ccccc1Cl
CC(C)OC1=CC=CC=C1CC(=O)NC1CCN(CC2=CC=CC=C2)C1=O,5.19,train,CC(C)Oc1ccccc1CC(=O)NC1CCN(Cc2ccccc2)C1=O
"O=C1CCCN1[C@H]1CCCC[C@H]1C1=NC(C2=CN(CCF)N=C2)=NO1 |&1:6,11|",4.76,train,O=C1CCCN1[C@H]1CCCC[C@H]1c1nc(-c2cnn(CCF)c2)no1
COC1=CC(NCCNC(=O)C2=C3NCCCN3N=C2)=CC(OC)=C1,4.74,train,COc1cc(NCCNC(=O)c2cnn3c2NCCC3)cc(OC)c1
O=C1NC=C(CNC(=O)N2CC3(CC=CC3)C2C2=CC=CC=C2)C2=CC=CC=C12,5.02,train,O=C(NCc1c[nH]c(=O)c2ccccc12)N1CC2(CC=CC2)C1c1ccccc1
CC1=CC(Cl)=C(C)C=C1C(=O)N1C[C@@H]2C[C@H]1CN2C(=O)C1CC2(CCC2)C1,5.2,train,Cc1cc(C(=O)N2C[C@@H]3C[C@H]2CN3C(=O)C2CC3(CCC3)C2)c(C)cc1Cl
CC(C)(C)OC(=O)N1CC2(CCCC2)CCC1CN1CCCN(C(N)=O)CC1,4.61,train,CC(C)(C)OC(=O)N1CC2(CCCC2)CCC1CN1CCCN(C(N)=O)CC1
CCC1=NN(CC2=CC=CC3=C2CCOC3)C(=O)C(C#N)=C1CC,5.44,train,CCc1nn(Cc2cccc3c2CCOC3)c(=O)c(C#N)c1CC
O=C(NS(=O)(=O)C1C[C@@H]2CC[C@H]1C2)C1=CN=C2C=CC=CC2=C1,4.81,train,O=C(NS(=O)(=O)C1C[C@@H]2CC[C@H]1C2)c1cnc2ccccc2c1
CC1=NC=CN1C1=NC=CC=C1CNC1CCCC2=CC=C(F)C=C21,4.69,train,Cc1nccn1-c1ncccc1CNC1CCCc2ccc(F)cc21
CCN1C=CN=C1[C@H]1OCCC[C@@H]1NC(=O)C1=CC=C(Br)O1,4.87,train,CCn1ccnc1[C@H]1OCCC[C@@H]1NC(=O)c1ccc(Br)o1
CCC(=O)NC(C(=O)N1CC=C(C2=CC=CS2)CC1)C1=CC=CC=C1,4.45,train,CCC(=O)NC(C(=O)N1CC=C(c2cccs2)CC1)c1ccccc1
O=C(NC1(C2=C(F)C=CC=C2F)CCC1)C1CNCC2=CC=CC=C21,5.26,train,O=C(NC1(c2c(F)cccc2F)CCC1)C1CNCc2ccccc21
CCOC1=CC=C(C(=O)N(C)CCC2=CC=C(O)C(OC)=C2)C=C1C,4.48,train,CCOc1ccc(C(=O)N(C)CCc2ccc(O)c(OC)c2)cc1C
"COC(=O)[C@H]1[C@H]2CC[C@H]2CN1C(=O)CCC1=NNC2=CC=CC=C21 |&1:4,5,8|",4.58,train,COC(=O)[C@H]1[C@H]2CC[C@H]2CN1C(=O)CCc1n[nH]c2ccccc12
CC(C)CN1C=C(C(=O)N2CCCC2C2=CC=C3OCOC3=C2)C=N1,4.95,train,CC(C)Cn1cc(C(=O)N2CCCC2c2ccc3c(c2)OCO3)cn1
CC1=C(S(=O)(=O)N(C)CCNC2=CC=CC=N2)N(C)N=C1,4.68,train,Cc1cnn(C)c1S(=O)(=O)N(C)CCNc1ccccn1
CC1=CC=CC(C2CCCN2C(=O)CCN2C(=O)N(C)C3=CC=CC=C32)=N1,5.31,train,Cc1cccc(C2CCCN2C(=O)CCn2c(=O)n(C)c3ccccc32)n1
CCN1N=C(C2=CC=CC=C2)C(C(=O)NC2=CC=CC=C2F)C1=O,4.6,train,CCN1N=C(c2ccccc2)C(C(=O)Nc2ccccc2F)C1=O
CCCOC1(C2=NOC(C3=CC(=O)NC(C4CC4)=N3)=N2)CCCCC1,5.11,train,CCCOC1(c2noc(-c3cc(=O)[nH]c(C4CC4)n3)n2)CCCCC1
O=C1NC(CC2=CC=CC=N2)C(=O)N1CCC1=CC=CC2=CC=CN=C21,5.18,train,O=C1NC(Cc2ccccn2)C(=O)N1CCc1cccc2cccnc12
CC(SC1=NN=C(C2=CNC3=CC=CC=C32)O1)C(=O)NCC(F)(F)F,4.85,train,CC(Sc1nnc(-c2c[nH]c3ccccc23)o1)C(=O)NCC(F)(F)F
CN(C)C1=CC=CC(S(=O)(=O)N2CCN(C3=CN=CC=N3)CC2)=C1,4.99,train,CN(C)c1cccc(S(=O)(=O)N2CCN(c3cnccn3)CC2)c1
COC1=CC=C(CC(=O)NC(C2=CC=C(F)C(F)=C2)C(C)(C)N2CCCC2)C=C1,4.93,train,COc1ccc(CC(=O)NC(c2ccc(F)c(F)c2)C(C)(C)N2CCCC2)cc1
CNC(=O)C1=C(C2C3CC2N(C(=O)CC2=CC=C(Cl)C=C2Cl)C3)OC=N1,5.13,train,CNC(=O)c1ncoc1C1C2CC1N(C(=O)Cc1ccc(Cl)cc1Cl)C2
O=C(CC1=NOC2=CC=CC=C21)NC1CCCN(CC2=CC=C(F)C=C2F)C1=O,5.42,train,O=C(Cc1noc2ccccc12)NC1CCCN(Cc2ccc(F)cc2F)C1=O
C#CC(C)(C)N1CCN(S(=O)(=O)N2CC3CCC2C3)CC1,4.93,train,C#CC(C)(C)N1CCN(S(=O)(=O)N2CC3CCC2C3)CC1
O=C1CCCN1CC(NCC1=NNC2=CC=CC=C21)C1=CC=CC=C1,4.72,train,O=C1CCCN1CC(NCc1n[nH]c2ccccc12)c1ccccc1
COC1(C)CCCN(C(=O)C2=NC=CC=C2NCC2CCC2)CC1,5.24,train,COC1(C)CCCN(C(=O)c2ncccc2NCC2CCC2)CC1
COC1=CC=C2N=C(C(=O)N(C)CCC3=CC=C(F)C=C3)C=CC2=C1,5.09,train,COc1ccc2nc(C(=O)N(C)CCc3ccc(F)cc3)ccc2c1
CCOC(=O)C1=C(NC(=O)CN(C)CC2=NOC=C2)SC(C(N)=O)=C1C,5.3,train,CCOC(=O)c1c(NC(=O)CN(C)Cc2ccon2)sc(C(N)=O)c1C
O=C(C1=CC=C(C2=NC3=CC=CC=C3S2)O1)N1CCCC(N2CCNC2=O)C1,4.18,train,O=C(c1ccc(-c2nc3ccccc3s2)o1)N1CCCC(N2CCNC2=O)C1
O=C1C2=CC=CC=C2CN1CC(=O)N1CCCC1C1=NC2=CC=CC=C2S1,4.94,train,O=C1c2ccccc2CN1CC(=O)N1CCCC1c1nc2ccccc2s1
CC1=CC=CN2C(=O)C=C(CN3C=C(C(O)C4=CC=CC=C4)N=N3)N=C12,4.74,train,Cc1cccn2c(=O)cc(Cn3cc(C(O)c4ccccc4)nn3)nc12
CC(C)CN1C=CC=C(C2=NC(C3=COC(C4CCC4)=N3)=NO2)C1=O,5.2,train,CC(C)Cn1cccc(-c2nc(-c3coc(C4CCC4)n3)no2)c1=O
N#CC1=CC=C(CCSC2=CC=C(C(=O)N3CCCC3)C=N2)C=C1,5.53,train,N#Cc1ccc(CCSc2ccc(C(=O)N3CCCC3)cn2)cc1
CC1(NC(=O)C2=NN(C3=CC=CC=C3)C(=O)C=C2)CCCCC1,4.93,train,CC1(NC(=O)c2ccc(=O)n(-c3ccccc3)n2)CCCCC1
CC1C2=C(F)C=CC=C2CCN1C(=O)NC1=CC=C(N2C=CC=N2)N=C1,5.14,train,CC1c2c(F)cccc2CCN1C(=O)Nc1ccc(-n2cccn2)nc1
CON(C)C(=O)C1=CC(C2=CC=CN=C2)=NC2=C1C=NN2CC1=CC=CO1,4.76,train,CON(C)C(=O)c1cc(-c2cccnc2)nc2c1cnn2Cc1ccco1
CC(C)(C)OC(=O)NCC1=CC(C2=NC(C3=CN=C4C=NC=CN34)=NO2)=CC=N1,4.42,train,CC(C)(C)OC(=O)NCc1cc(-c2nc(-c3cnc4cnccn34)no2)ccn1
CC1(C)CN(C2=CC(C3=CC=CC=C3)=NC3=NC=NN23)CC2(CCOC2)O1,5.06,train,CC1(C)CN(c2cc(-c3ccccc3)nc3ncnn23)CC2(CCOC2)O1
CC1=C(CNC(=O)C(C2=CC=CC=C2)N2CCC(O)CC2)OC2=CC=C(F)C=C21,4.74,train,Cc1c(CNC(=O)C(c2ccccc2)N2CCC(O)CC2)oc2ccc(F)cc12
CC1=CC(C(=O)NC2(C3=CC=CC=N3)CC2)=NN1C1=CC=CC(Cl)=C1,5.23,train,Cc1cc(C(=O)NC2(c3ccccn3)CC2)nn1-c1cccc(Cl)c1
COCC1=CC(CN2C=C(C34CC5CC(CC(C5)C3)C4)N=N2)=NO1,5.23,train,COCc1cc(Cn2cc(C34CC5CC(CC(C5)C3)C4)nn2)no1
O=C(NC1=NN2CCCCC2=C1)C1=CC=CC(C2CCOC2)=C1,4.64,train,O=C(Nc1cc2n(n1)CCCC2)c1cccc(C2CCOC2)c1
CC1=CON=C1CS(=O)(=O)N(C)C(C1=CC=CC=C1)C(F)(F)F,5.22,train,Cc1conc1CS(=O)(=O)N(C)C(c1ccccc1)C(F)(F)F
"CC1=CC=C(N(C)C(=O)[C@H]2C[C@@H]2C2=CC=C(OC(F)F)C=C2)N=N1 |&1:9,11|",4.61,train,Cc1ccc(N(C)C(=O)[C@H]2C[C@@H]2c2ccc(OC(F)F)cc2)nn1
CCC1=CC=C(C2COCCN2S(=O)(=O)C2=CC=C3NC(=O)C(C)(C)C3=C2)O1,4.98,train,CCc1ccc(C2COCCN2S(=O)(=O)c2ccc3c(c2)C(C)(C)C(=O)N3)o1
CN1N=CC=C1C12CCC(C1)C2C(=O)NCCCC1=CNN=C1C(F)(F)F,4.97,train,Cn1nccc1C12CCC(C1)C2C(=O)NCCCc1c[nH]nc1C(F)(F)F
CC1=CC=CC2=C1OC(C(=O)N1CCCN(S(C)(=O)=O)CC1)=C2,4.93,train,Cc1cccc2cc(C(=O)N3CCCN(S(C)(=O)=O)CC3)oc12
CC1(C2=NC(C3=CSC(C(F)(F)F)=C3)=NO2)CCNC(=O)C1,5.07,train,CC1(c2nc(-c3csc(C(F)(F)F)c3)no2)CCNC(=O)C1
O=C(NCCC1=CNC2=CC(F)=CC=C12)C1COC2=CC=CC=C21,4.73,train,O=C(NCCc1c[nH]c2cc(F)ccc12)C1COc2ccccc21
CC1=CC=C(CNC(=O)N2CCCN(S(C)(=O)=O)CC2)N=C1C,4.63,train,Cc1ccc(CNC(=O)N2CCCN(S(C)(=O)=O)CC2)nc1C
COC1=CC=C2N=C(CN3CCCC(N4CCCC4=O)CC3)SC2=C1,5.16,train,COc1ccc2nc(CN3CCCC(N4CCCC4=O)CC3)sc2c1
CC(C)C1=NC=NC=C1C(=O)NC1=NC2=CC=C(S(=O)(=O)N3CCCC3)C=C2S1,4.26,train,CC(C)c1ncncc1C(=O)Nc1nc2ccc(S(=O)(=O)N3CCCC3)cc2s1
CCN1C(=O)NC(=O)C2=C(C(=O)NC3=CC(C4=CC=CO4)=NN3C)C=C(C3CC3)N=C21,4.51,train,CCn1c(=O)[nH]c(=O)c2c(C(=O)Nc3cc(-c4ccco4)nn3C)cc(C3CC3)nc21
CC1=NOC(C)=C1C1=CN(C(C(=O)N(C)C)C2=CC=CC=C2)N=N1,5.39,train,Cc1noc(C)c1-c1cn(C(C(=O)N(C)C)c2ccccc2)nn1
NS(=O)(=O)N1CCCN(C2=NC(C3=CC=NC=C3)=NC3=CC=CC=C32)CC1,4.34,train,NS(=O)(=O)N1CCCN(c2nc(-c3ccncc3)nc3ccccc23)CC1
CCC(NC(CO)CC1=CC=C(F)C=C1)C1=CC=CC=C1F,4.93,train,CCC(NC(CO)Cc1ccc(F)cc1)c1ccccc1F
C1=CC=C(C2=NC3=CC=NN3C(NC3COC(C4CC4)C3)=C2)C=C1,5.11,train,c1ccc(-c2cc(NC3COC(C4CC4)C3)n3nccc3n2)cc1
CCN1C(C2=C(C)OC(C)=C2)=NN=C1N(C)CCCSC,5.28,train,CCn1c(-c2cc(C)oc2C)nnc1N(C)CCCSC
COC1=CC=C2OCC(C3=NN=C(C4=CC=CC=C4F)O3)CC2=C1,4.11,train,COc1ccc2c(c1)CC(c1nnc(-c3ccccc3F)o1)CO2
CCC1=NOC=C1CN1C=C(C2=CC=CC=C2OC)N=N1,4.81,train,CCc1nocc1Cn1cc(-c2ccccc2OC)nn1
O=C(CN1CCN(C(=O)C2=CC=CC(F)=C2)CC1)NCCC1=NC2=CC=CC=C2S1,4.99,train,O=C(CN1CCN(C(=O)c2cccc(F)c2)CC1)NCCc1nc2ccccc2s1
CC(C1=CC=CC(S(N)(=O)=O)=C1)N(C)C(=O)CN1C(=O)CCOC2=CC=CC=C21,4.81,train,CC(c1cccc(S(N)(=O)=O)c1)N(C)C(=O)CN1C(=O)CCOc2ccccc21
CNC(=O)C(NC(=O)C1=CC(C)=CC=C1O)C1=CC=CC=C1,4.4,train,CNC(=O)C(NC(=O)c1cc(C)ccc1O)c1ccccc1
O=C(C1CCCN(C2=NC=CC=C2C(F)(F)F)C1)N1CCC2(CC1)OCCO2,4.69,train,O=C(C1CCCN(c2ncccc2C(F)(F)F)C1)N1CCC2(CC1)OCCO2
CCCCC(=O)N1CSCC1C(=O)N1CCC[C@]1(C)C(=O)OC,4.38,train,CCCCC(=O)N1CSCC1C(=O)N1CCC[C@]1(C)C(=O)OC
CC1=CC=CC=C1C(C)CC1=NC(C2=C(C)OC=N2)=NO1,4.61,train,Cc1ccccc1C(C)Cc1nc(-c2ncoc2C)no1
CC1(C(=O)NC2=NN(CC3=CC=C(Cl)C=C3)C=N2)CCCN(C(=O)C2=CC=CC=C2)C1,5.16,train,CC1(C(=O)Nc2ncn(Cc3ccc(Cl)cc3)n2)CCCN(C(=O)c2ccccc2)C1
O=C(NCC1(C2=CC=CC(Cl)=C2)CCOCC1)C(O)C1CCCCC1,5.22,train,O=C(NCC1(c2cccc(Cl)c2)CCOCC1)C(O)C1CCCCC1
CC1=CSC(C(O)(CC(=O)N2CCC(C3=CC=CC=C3C)CC2)C(F)(F)F)=N1,4.98,train,Cc1csc(C(O)(CC(=O)N2CCC(c3ccccc3C)CC2)C(F)(F)F)n1
CNC(=O)C1=CC=C(CN(C)C(=O)NC2CCCN(C3=CC=CC(F)=C3)C2)C=C1,4.83,train,CNC(=O)c1ccc(CN(C)C(=O)NC2CCCN(c3cccc(F)c3)C2)cc1
CCN(CC1=CC=C2OCOC2=C1)C(=O)NCC1=NN=C2CCCCCN21,5.11,train,CCN(Cc1ccc2c(c1)OCO2)C(=O)NCc1nnc2n1CCCCC2
CN(C)C(=O)C(CC1=CC=CC=C1)NCC1=CC=CC2=C1C=CN2,4.85,train,CN(C)C(=O)C(Cc1ccccc1)NCc1cccc2[nH]ccc12
CC(C)(C)C1=CC=C(Cl)C=C1NC(=O)C1=NN(C2CCOCC2)C=C1,5.1,train,CC(C)(C)c1ccc(Cl)cc1NC(=O)c1ccn(C2CCOCC2)n1
C=C1CC(C)(C(=O)N[C@H]2CCCCC[C@H]2NC(=O)C2(C)CC(=C)C2)C1,5.16,train,C=C1CC(C)(C(=O)N[C@H]2CCCCC[C@H]2NC(=O)C2(C)CC(=C)C2)C1
CN1C(=O)C=CC=C1C1=NC(C2(C3=CC=C(F)C=C3)CCC2)=NO1,5.08,train,Cn1c(-c2nc(C3(c4ccc(F)cc4)CCC3)no2)cccc1=O
COC1=CC(C(=O)NC2=NN(C)C(C(F)(F)F)=C2)=CC=C1C,4.56,train,COc1cc(C(=O)Nc2cc(C(F)(F)F)n(C)n2)ccc1C
COC1=CC=C2NN=C(NC(=O)C3(C4=CC=CC=C4)CCCO3)C2=C1,4.65,train,COc1ccc2[nH]nc(NC(=O)C3(c4ccccc4)CCCO3)c2c1
CC(=O)NCC1=CC=C(C2=CSC(C3CCCN(C(C)=O)C3)=N2)S1,4.84,train,CC(=O)NCc1ccc(-c2csc(C3CCCN(C(C)=O)C3)n2)s1
COC1=NC=CC=C1C(=O)NC1(C2=CC=CC=C2F)CC1,4.7,train,COc1ncccc1C(=O)NC1(c2ccccc2F)CC1
CSC1=CC2=C(C=C1NC(=O)N1CCCC3(CCOCC3)C1)OCCO2,4.52,train,CSc1cc2c(cc1NC(=O)N1CCCC3(CCOCC3)C1)OCCO2
COC1CCCN(CC(=O)NC2=CC=CC(C(F)(F)F)=C2)C1,4.83,train,COC1CCCN(CC(=O)Nc2cccc(C(F)(F)F)c2)C1
CCOC1=C(Cl)C=C(C(=O)NC(C)C2=NOC(C3=CC=CC=C3)=N2)C=C1OC,4.63,train,CCOc1c(Cl)cc(C(=O)NC(C)c2noc(-c3ccccc3)n2)cc1OC
C#CC1=CC=NC(N(CC)C(=O)C2=CC=CC(OCCOC)=C2)=C1,4.82,train,C#Cc1ccnc(N(CC)C(=O)c2cccc(OCCOC)c2)c1
O=C(C1=CNC2=NC=C(Br)C=C12)N1CCCC(N2C=CN=C2)C1,5.35,train,O=C(c1c[nH]c2ncc(Br)cc12)N1CCCC(n2ccnc2)C1
CN(C)C(=O)C(OC(=O)C1=C(F)C=C(O)C=C1F)C1=CC=CC=C1,4.56,train,CN(C)C(=O)C(OC(=O)c1c(F)cc(O)cc1F)c1ccccc1
CN1C=CC(N(C)CC2=NN=C(C3=CC4=C(CCCC4)S3)O2)=N1,4.42,train,CN(Cc1nnc(-c2cc3c(s2)CCCC3)o1)c1ccn(C)n1
O=C(NCC1(C2=CC=CC=C2)CCCO1)C1=CC=C2NC=NC2=C1,4.5,train,O=C(NCC1(c2ccccc2)CCCO1)c1ccc2[nH]cnc2c1
CC1=NN(C)C2=NC(C3CC3)=CC(C(=O)NC3=NC=CN(C)C3=O)=C12,4.42,train,Cc1nn(C)c2nc(C3CC3)cc(C(=O)Nc3nccn(C)c3=O)c12
CC1=CC(Br)=CC=C1N(C)S(=O)(=O)C1=CN(C(C)C)N=C1,5.2,train,Cc1cc(Br)ccc1N(C)S(=O)(=O)c1cnn(C(C)C)c1
CC1=CC(C)=NC(C)=C1C(=O)N(CC1=CN(C)N=C1)CC(C)C,4.26,train,Cc1cc(C)c(C(=O)N(Cc2cnn(C)c2)CC(C)C)c(C)n1
O=C(NC1=NC(C2CC2)=CS1)C1=CN(CCC2=CC=CC=C2)N=N1,5.36,train,O=C(Nc1nc(C2CC2)cs1)c1cn(CCc2ccccc2)nn1
CC(C)(C)C1=CSC(C2CN(C(=O)C3=CC=CC(C(=O)O)=C3)CCO2)=N1,5.0,train,CC(C)(C)c1csc(C2CN(C(=O)c3cccc(C(=O)O)c3)CCO2)n1
O=C(NC1=CC=C(F)N=C1)N1CCC(CC2=CC=C(F)C=C2)C1,4.71,train,O=C(Nc1ccc(F)nc1)N1CCC(Cc2ccc(F)cc2)C1
COCCOC1=CC=CC(C(=O)N(C)C2=CC=C(C(=O)OC)C=C2)=C1,4.06,train,COCCOc1cccc(C(=O)N(C)c2ccc(C(=O)OC)cc2)c1
O=C(NCC1=CC=CC(OC(F)(F)F)=C1)NC1CC12CCOCC2,4.68,train,O=C(NCc1cccc(OC(F)(F)F)c1)NC1CC12CCOCC2
COC1=CC=C2C(=C1)C=CN2CC(=O)NCC1(N2CCOCC2)CCCCC1,5.11,train,COc1ccc2c(ccn2CC(=O)NCC2(N3CCOCC3)CCCCC2)c1
COC1=CC=CC=C1NC1=NC=CC=C1C(=O)NCC1(C(N)=O)CCOCC1,4.68,train,COc1ccccc1Nc1ncccc1C(=O)NCC1(C(N)=O)CCOCC1
CC1=CN(C2CCN(C(=O)NCC(C)C3=CC=C(F)C=C3)C2)N=C1,4.46,train,Cc1cnn(C2CCN(C(=O)NCC(C)c3ccc(F)cc3)C2)c1
CC1=C(C(=O)N2CCC(CC3=NC4=CC=CC=C4N3)CC2)C2=CC=CC=C2O1,4.57,train,Cc1oc2ccccc2c1C(=O)N1CCC(Cc2nc3ccccc3[nH]2)CC1
CCC1=NN(C)C=C1NC(=O)C1CCN(C2=CC=CC=C2Cl)C1,3.85,train,CCc1nn(C)cc1NC(=O)C1CCN(c2ccccc2Cl)C1
O=S1(=O)CCC2(CCCN(CC3=CN=C(C4=CC=CC=C4)O3)C2)C1,5.2,train,O=S1(=O)CCC2(CCCN(Cc3cnc(-c4ccccc4)o3)C2)C1
CC(NC1=CC=CC(NC(=O)CO)=C1)C1=NC(C2=CC=CC=C2)=NO1,4.34,train,CC(Nc1cccc(NC(=O)CO)c1)c1nc(-c2ccccc2)no1
CN1N=NC(CNS(=O)(=O)C2=CC=C(C(C)(C)C)C=C2)=N1,5.07,train,Cn1nnc(CNS(=O)(=O)c2ccc(C(C)(C)C)cc2)n1
CC(C1=NN=NN1C)N1CCOC(C2=CC=C(Cl)C(Cl)=C2)C1,5.22,train,CC(c1nnnn1C)N1CCOC(c2ccc(Cl)c(Cl)c2)C1
COC1=NC=C(C(=O)N2CCC2C2=CC=CC(F)=C2)C=C1Cl,5.0,train,COc1ncc(C(=O)N2CCC2c2cccc(F)c2)cc1Cl
BrC1=CC=C(C2(CNC(C3=CC=CN=C3)C3=NC=CN3)CCOCC2)C=C1,4.51,train,Brc1ccc(C2(CNC(c3cccnc3)c3ncc[nH]3)CCOCC2)cc1
COC(=O)C1=CN=C(NC2CCCCCN(C(=O)C3CCC3(F)F)C2)N=C1,4.61,train,COC(=O)c1cnc(NC2CCCCCN(C(=O)C3CCC3(F)F)C2)nc1
CC1=CC=NC2=NC(C(=O)N(CC3=CC=CO3)C3CCCC3)=NN12,4.42,train,Cc1ccnc2nc(C(=O)N(Cc3ccco3)C3CCCC3)nn12
CC1=C(C(=O)N2CCCCC2CNC(=O)NC2=CC=CC=C2)N=NN1C1=CC=C2N=CC=CC2=C1,4.53,train,Cc1c(C(=O)N2CCCCC2CNC(=O)Nc2ccccc2)nnn1-c1ccc2ncccc2c1
CC1=NN(C2=CC=CC(Br)=C2)C(NC(=O)C2(C)CCCO2)=C1,5.09,train,Cc1cc(NC(=O)C2(C)CCCO2)n(-c2cccc(Br)c2)n1
O=C(CCC1=CC=CC=C1)N1CCCN(C(=O)C2COC3=CC=CC=C32)CC1,5.31,train,O=C(CCc1ccccc1)N1CCCN(C(=O)C2COc3ccccc32)CC1
COC1=CC(C)=CC=C1NC(=O)C1=CC=CC(C2=NC=NN2)=C1,4.45,train,COc1cc(C)ccc1NC(=O)c1cccc(-c2ncn[nH]2)c1
CC(C(=O)NC1=NC=CS1)N1CCCN(C(=O)C2=CC=CC=C2)CC1,4.87,train,CC(C(=O)Nc1nccs1)N1CCCN(C(=O)c2ccccc2)CC1
COC1=CC=CC(C2CN(C(=O)CNC(=O)C3=CC=C(C)C(C)=C3)CCO2)=C1,4.91,train,COc1cccc(C2CN(C(=O)CNC(=O)c3ccc(C)c(C)c3)CCO2)c1
COCCOC1CC(CO)CN(S(=O)(=O)C2=CC(F)=CC=C2C)C1,5.52,train,COCCOC1CC(CO)CN(S(=O)(=O)c2cc(F)ccc2C)C1
O=C(NC1=CC=C(C2CC2)N=N1)NC1(C2=CC=CC(OC(F)(F)F)=C2)CC1,5.03,train,O=C(Nc1ccc(C2CC2)nn1)NC1(c2cccc(OC(F)(F)F)c2)CC1
CCOC1CC(NC(=O)C2=CC=NC(N3C=CC=N3)=C2)C12CCCC2,4.8,train,CCOC1CC(NC(=O)c2ccnc(-n3cccn3)c2)C12CCCC2
COCCNC1=CC=C(CNC(=O)N2CCCC3(CCCC3)CC2)C=C1,4.83,train,COCCNc1ccc(CNC(=O)N2CCCC3(CCCC3)CC2)cc1
CN1C=CC=C1C1CCCCN1C(=O)CCN1C(=O)COC2=CC=CC=C21,5.28,train,Cn1cccc1C1CCCCN1C(=O)CCN1C(=O)COc2ccccc21
COC1=CC=C(C)C=C1S(=O)(=O)N1CC(O)CC1C1=CC=C(F)C=C1,5.04,train,COc1ccc(C)cc1S(=O)(=O)N1CC(O)CC1c1ccc(F)cc1
